"","Species","Genus","Subspecies","ValidBinomial","Year"
"202689","athamas","Polyura","kannegieteri","Polyura athamas",1913
"202690","athamas","Polyura","kotakii","Polyura athamas",1989
"202691","athamas","Polyura","nigresco","Polyura athamas",1991
"202692","athamas","Polyura","omen","Polyura athamas",1991
"202693","athamas","Polyura","palawanicus","Polyura athamas",1899
"202694","athamas","Polyura","sumbawana","Polyura athamas",1991
"202695","athamas","Polyura","uraeus","Polyura athamas",1899
"202701","bicolor","Polyura",NA,"Polyura bicolor",1995
"202704","caphontis","Polyura",NA,"Polyura caphontis",1863
"202708","caphontis","Polyura","excellens","Polyura caphontis",2001
"202709","caphontis","Polyura","nambavatua","Polyura caphontis",1982
"202712","choui","Polyura",NA,"Polyura choui",1997
"202714","clitarchus","Polyura",NA,"Polyura clitarchus",1874
"202716","cognatus","Polyura",NA,"Polyura cognatus",1861
"202717","cognatus","Polyura","kailicus","Polyura cognatus",1924
"202718","cognatus","Polyura","yumikoe","Polyura cognatus",1984
"202721","dehanii","Polyura",NA,"Polyura dehanii",1850
"202723","dehanii","Polyura","carabus","Polyura dehanii",1991
"202724","dehanii","Polyura","sulthan","Polyura dehanii",1896
"202726","delphis","Polyura",NA,"Polyura delphis",1843
"202743","delphis","Polyura","concha","Polyura delphis",1861
"202744","delphis","Polyura","cygnus","Polyura delphis",1899
"202745","delphis","Polyura","hiroyukii","Polyura delphis",1989
"202746","delphis","Polyura","niveus","Polyura delphis",1899
"202747","delphis","Polyura","othonis","Polyura delphis",1904
"202749","dolon","Polyura",NA,"Polyura dolon",1847
"202768","dolon","Polyura","carolus","Polyura dolon",1904
"202769","dolon","Polyura","centralis","Polyura dolon",1899
"202770","dolon","Polyura","grandis","Polyura dolon",1899
"202771","dolon","Polyura","magniplagus","Polyura dolon",1904
"202772","dolon","Polyura","satoi","Polyura dolon",1987
"202774","epigenes","Polyura",NA,"Polyura epigenes",1888
"202779","epigenes","Polyura","monochromus","Polyura epigenes",1914
"202780","eudamippus","Polyura",NA,"Polyura eudamippus",1843
"202813","eudamippus","Polyura","cupidinius","Polyura eudamippus",1914
"202814","eudamippus","Polyura","kuangtungensis","Polyura eudamippus",1923
"202815","eudamippus","Polyura","nigrobasalis","Polyura eudamippus",1898
"202816","eudamippus","Polyura","noko","Polyura eudamippus",1939
"202817","eudamippus","Polyura","peninsularis","Polyura eudamippus",1933
"202818","eudamippus","Polyura","rothschildi","Polyura eudamippus",1892
"202819","eudamippus","Polyura","weismanni","Polyura eudamippus",1894
"202820","eudamippus","Polyura","whiteheadi","Polyura eudamippus",1900
"202823","galaxia","Polyura",NA,"Polyura galaxia",1866
"202824","galaxia","Polyura","aloranus","Polyura galaxia",1898
"202825","galaxia","Polyura","antigonus","Polyura galaxia",1904
"202826","galaxia","Polyura","babbericus","Polyura galaxia",1903
"202827","galaxia","Polyura","casteleyni","Polyura galaxia",1992
"202828","galaxia","Polyura","florensis","Polyura galaxia",1991
"202829","galaxia","Polyura","jovis","Polyura galaxia",1895
"202830","galaxia","Polyura","kalaonicus","Polyura galaxia",1898
"202831","galaxia","Polyura","lettianus","Polyura galaxia",1898
"202832","galaxia","Polyura","sawuensis","Polyura galaxia",1998
"202833","galaxia","Polyura","scipio","Polyura galaxia",1898
"202834","galaxia","Polyura","seitzi","Polyura galaxia",1897
"202835","galaxia","Polyura","seruaensis","Polyura galaxia",1991
"202836","galaxia","Polyura","teona","Polyura galaxia",1991
"202837","galaxia","Polyura","wetarensis","Polyura galaxia",1991
"202839","gamma","Polyura",NA,"Polyura gamma",1898
"202841","gilolensis","Polyura",NA,"Polyura gilolensis",1869
"202842","gilolensis","Polyura","besar","Polyura gilolensis",1995
"202843","gilolensis","Polyura","buruanus","Polyura gilolensis",1898
"202844","gilolensis","Polyura","obiensis","Polyura gilolensis",1898
"202845","gilolensis","Polyura","utara","Polyura gilolensis",1995
