accid,canonical,taxonRank,status,authorship,id,group
0,Aenictus_sonchaengi,species,accepted,"Jaitrong & Yamane, 2011",430697,ants
0,Aenictus_soudanicus,species,accepted,"Santschi, 1910",430698,ants
0,Aenictus_spathifer,species,accepted,"Santschi, 1928",430699,ants
0,Aenictus_hamifer_spinosior,species,accepted,"Stitz, 1917",430700,ants
0,Aenictus_steindachneri,species,accepted,"Mayr, 1901",430701,ants
0,Aenictus_stenocephalus,species,accepted,"Jaitrong et al., 2010",430702,ants
0,Aenictus_sumatrensis,species,accepted,"Forel, 1913",430703,ants
0,Aenictus_clavatus_sundaicus,species,accepted,"Forel, 1909",430704,ants
0,Aenictus_longi_taivanae,species,accepted,"Forel, 1913",430706,ants
0,Aenictus_thailandianus,species,accepted,"Terayama & Kubota, 1993",430707,ants
0,Aenictus_togoensis,species,accepted,"Santschi, 1915",430708,ants
0,Aenictus_trigonus,species,accepted,"Forel, 1911",430710,ants
0,Aenictus_crucifer_tuberculatus,species,accepted,"Arnold, 1915",430711,ants
0,Aenictus_turneri,species,accepted,"Forel, 1900",430712,ants
0,Aenictus_vagans,species,accepted,"Santschi, 1924",430714,ants
0,Aenictus_vaucheri,species,accepted,"Emery, 1915",430715,ants
0,Aenictus_vieti,species,accepted,"Jaitrong et al., 2010",430716,ants
0,Aenictus_villiersi,species,accepted,"Bernard, 1953",430717,ants
0,Aenictus_humeralis_viridans,species,accepted,"Santschi, 1915",430718,ants
0,Aenictus_wayani,species,accepted,"Jaitrong & Yamane, 2011",430719,ants
0,Aenictus_weissi,species,accepted,"Santschi, 1910",430720,ants
0,Aenictus_westwoodi,species,accepted,"Forel, 1901",430721,ants
0,Aenictus_wroughtonii,species,accepted,"Forel, 1890",430722,ants
0,Aenictus_wudangshanensis,species,accepted,"Wang, 2006",430723,ants
0,Aenictus_yamanei,species,accepted,"Wiwatwitaya & Jaitrong, 2011",430724,ants
